;nakoplenia_ludei.xls;rashodi_na_med.xls;chislo_ubistv.xls;inflazia.xls;nalogi.xls;procent_tryd_naselenia.xls;trati_na_obraz.xls;rogdaemost.xls;voennie_trati.xls;bezrabotiza.xls;vvp_pps_na_dyshy.xls;patenti.csv;Happiness.Score
Afghanistan;;12.62081718;6.6784014408596;4.9759515055383;71.4;90.5430941060045;3.37331008911133;37.342;0.9452267999395161;;2096.093110553366;;3.79399991035461
Albania;16.5293641587755;5.01263571;2.01097785878705;2.0605984592022;37.3;46.723001108544985;3.61173009872437;10.87;1.1086963859038301;;12770.9878616071;16.0;4.64400005340576
Algeria;38.72606850594877;6.27938414;;5.59111590961673;66.1;54.67912235202096;6.50538015365601;24.755;5.92438332688534;0.534319996833801;11809.483033384611;149.0;5.87200021743774
Angola;23.055848110087354;2.79150295;;29.8425777887099;49.1;93.01348887566293;2.46688008308411;40.81;2.50798545587522;;7216.061372669987;;3.79500007629395
Argentina;13.068848553946022;10.44225502;5.27344256316347;;106.0;55.611239104605325;5.45431995391846;16.206;0.8561379163735431;0.556309998035431;23597.117752839007;393.0;6.59899997711182
Armenia;16.93033984453631;10.36270523;2.37708032731717;0.969553268816231;18.5;45.59311140164721;2.70759010314941;13.606;3.84973057654684;0.227880001068115;12509.639606481782;107.0;4.37599992752075
Australia;21.810204741106972;9.26682281;0.846057447544743;1.94864740944522;47.5;52.13516053208146;5.13680982589722;12.6;1.9992079977286001;1.8792599439621;48400.2457875228;2503.0;7.28399991989136
Austria;26.342632963114898;10.38460541;0.793659612090928;2.08126911385587;51.8;49.28688163927032;5.37159013748169;10.0;0.757321291425713;3.05656003952026;54172.98678882535;2073.0;7.00600004196167
Azerbaijan;29.025753682372784;3.73651457;1.84859480386409;12.9359184187334;39.8;43.69613691422401;2.47381997108459;14.6;3.75630173249661;0.184679999947548;14121.406935559091;204.0;5.23400020599365
Bahrain;28.855747503025164;4.74279165;0.334654773482223;1.38671830576397;13.8;29.462062493668345;2.32452011108398;14.506;4.33877531046373;;48929.44701199514;8.0;6.08699989318848
Bangladesh;35.284842909992726;2.43180156;2.22249468847879;5.70207015717245;33.4;51.29175908852759;2.21661949157715;18.495;1.24025612590731;;4830.776082681301;61.0;4.60799980163574
Belarus;28.017037642248283;5.75974846;2.53961992259873;6.0318372517779;52.9;47.492798822176866;4.79499006271362;10.8;1.1462890148484801;0.584110021591187;18356.100774172162;434.0;5.56899976730347
